id,username,category,profilePicUrl,followers,reelsCount30d,avgViews30d,lastScrapedAt
acf7b242-d161-41bb-92ad-b4164776f7a3,withkyndall,general,https://scontent-nrt1-2.cdninstagram.com/v/t51.82787-19/767269309_18098693867219935_4502990951150345512_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-nrt1-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2gFNxbUj0X14pSspW01L4kiJz5GLAUvP28JounQtkYZkLLwQvQouf3uPQUOTXPrE1Bc&_nc_ohc=s9wZvzVFIAoQ7kNvwF4mH2H&_nc_gid=umlG_nH_gKAvsJ7gGzWirg&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AQFGQZCfJrgqPAc39ak4TkWhIO7Vp7VwNxPqGJUIZrEU4Q&oe=6A8C79AA&_nc_sid=8b3546,651,12,3810,2026-08-20T05:26:09.731Z
5f35f153-b9c5-4f6a-bc1d-bf63d68dc356,cocina_nomada_mx,food-n-travel,https://scontent-cdg4-3.cdninstagram.com/v/t51.82787-19/659001036_18082822880580755_8980206823292172999_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2gHJ6y9pYIJLFZS5erVONN1_Ca78ZoUBd2gG1m6wbShw1b2qtyz3kZK3P2fZZvFGFLo&_nc_ohc=8SWj877-PgQQ7kNvwFeX7nt&_nc_gid=oexLll8GT7h7VQQiDcFgcA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AQE-USco9J9VypnaieTiEd-JX56swQQ7VDFOpGZ7B4i0Ww&oe=6A8C5249&_nc_sid=8b3546,369011,21,55813,2026-08-20T05:27:12.057Z
0864a851-6464-44f1-b515-1cebc48a9139,jose.horatio,general,https://scontent-cdg6-1.cdninstagram.com/v/t51.82787-19/616249145_17975508617973518_2439294577419790255_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_cat=106&ccb=7-5&_nc_sid=f7ccc5&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=edq-R5BxpBUQ7kNvwGUUy2s&_nc_oc=AdqIjVqRDNBaQuatlJUA6zMBQxLxZpthBxE-M7qekLOceatJSsiBXp2gaLNaWQo4h9gj1ko28vy1Rtt4S1R_0aQL&_nc_zt=24&_nc_ht=scontent-cdg6-1.cdninstagram.com&_nc_gid=VvmJZnTbew5Xr4jvjPzIJA&_nc_ss=72689&oh=00_AQFSGsaErCVG6BobyJyYvkCYTaB89wMg4IHbKEVKdQY_6A&oe=6A8C7EB6,31871,3,379132,2026-08-20T05:27:50.733Z
21c7d93a-c644-4846-99a9-36c96c251177,oscarmezar,food-n-travel,https://instagram.fmex5-1.fna.fbcdn.net/v/t51.82787-19/570636832_18542276704013936_4472517090882090728_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fmex5-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2gHjXu5D16HLV8BSJ-kK9m6q_fKPMy42w8n1Q7KnC2Rj78bS5PVOOMLCbj8qYlIoqKo&_nc_ohc=oHwVSSEQY-8Q7kNvwFj4M83&_nc_gid=MYZ8Kyj763SnUKqvghbshA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AQHDnrqBd9sWS-ayewYcH2nQ0QyLQdQ4xp2_H7KAwuG4Kw&oe=6A8D0472&_nc_sid=8b3546,2639564,8,675716,2026-08-20T17:02:12.708Z
59db8b24-3d24-4584-a990-250a410381f3,gonzaccardi,crypto,https://scontent-xxc1-1.cdninstagram.com/v/t51.82787-19/729729287_18064997405706864_5540833965141086032_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmV4cGVyaW1lbnRhbCJ9&_nc_ht=scontent-xxc1-1.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2gFL8IWojq6JE64ZUVHLpRvvwrNe8-rZBKMZmQBP7NdTNdfcuL9ru4vN4UcGr-88br8&_nc_ohc=VqcEzLwsiPMQ7kNvwEZZuCW&_nc_gid=8ZECAJ3QOFsuWADwBOqn8w&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AQGxtdGWW28pXPdKemZol2JVe1q8CrBc7eQQg1fr7Clm7Q&oe=6A8D02BC&_nc_sid=8b3546,8876,11,11155,2026-08-20T17:04:28.007Z
6e235c69-f82d-4afa-b1c6-87c544511d18,thonyalvarez_,crypto,https://scontent-fra5-2.cdninstagram.com/v/t51.82787-19/613196842_18097655947849711_2226408869136064141_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-fra5-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2gEOzQj6FTNzFONfkwDzNcYxwA3vhLq1gRz665ACIt2WbQ0uFqmFLo7cDYmPuBy-UQU&_nc_ohc=ERICjpUUNLEQ7kNvwGEnWMW&_nc_gid=_oEHnAlMySsIVEVopt7EVA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AQEspH-ryGdBzD0JNtMz_DiHVzVe3Wy5WddAVdc4HDZIiA&oe=6A8D1F02&_nc_sid=8b3546,221732,5,12179,2026-08-20T17:05:09.816Z
b4a09fd4-9160-4df7-9463-21228bcde0ad,alessyleblanc,general,https://scontent-itm1-1.cdninstagram.com/v/t51.82787-19/753471227_18360013876243002_8908257862836926046_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-itm1-1.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2gFZ_q-PGkz_O143hZIgoxpu9IjU_ihjVAaddN2-UbXcSuI20UDED9FExleSZvnzaLFwVsxmmapWAuiBO7AID17y&_nc_ohc=RkNuS061rtQQ7kNvwF0UDQY&_nc_gid=SD92ThZi1ryVpk7ojHV1qw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AQFHFSh33h8L38ikTHsXTQPxPAiwcCNKyQTNB506OPAy3g&oe=6A8CF36E&_nc_sid=8b3546,74097,14,23823,2026-08-20T17:08:05.971Z
f17b0ea9-644e-4a80-9807-6a079e083b86,bitacora.noe,crypto,https://scontent-icn2-1.cdninstagram.com/v/t51.82787-19/728934636_18476602750103645_6244160405289959786_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-icn2-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2gH_s5yPSUEjvq98aM3EgaVXPCnGzqffd5seiiYn60GyypttsIw4-rLsYv7KDcy9H7g&_nc_ohc=7RHPMvD5cBMQ7kNvwHZeCv4&_nc_gid=5H5qTbOr_r-x9ymZUTvGXw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AQF0ZZ_dGH67b1U6KRZl-SKLkXd3So0z_OQOuYzGm6cbug&oe=6A8CEE89&_nc_sid=8b3546,17344,37,1905,2026-08-20T17:10:51.394Z
0d81a681-575e-40cf-8445-1f47d199941b,nz.automotores,revision-autos,https://scontent-dus1-1.cdninstagram.com/v/t51.2885-19/348655155_636435491358378_3291448271718326713_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-dus1-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2gE0CjQPx21YdXdpipB95UyJH9kz38rigB35fphZgh0yCS83oSKcISR0IWyjXoPafJzpEcIOicQ1G8htDJuD_79C&_nc_ohc=1xWqZkWmabYQ7kNvwH5I56J&_nc_gid=R1ydeaDmUfezSIyBH0RfOg&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AQErmHOhNDv33tlqtoANQv-_sKoltv6L8lzSa95_29sX8Q&oe=6A923BEC&_nc_sid=8b3546,116837,6,838743,2026-08-24T14:35:46.821Z
77044255-e0d0-4b7b-91b6-5214bbe2997f,verificar.arg,revision-autos,https://scontent-mxp2-1.cdninstagram.com/v/t51.2885-19/323815854_1035214690769705_3141713087165416203_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_cat=109&ccb=7-5&_nc_sid=f7ccc5&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=Jc-yh90uM7UQ7kNvwHBPW5d&_nc_oc=AdpCja01Zb6eBSBqMguATqAOVj_sKWkOlPA2A_ubrxNalLnTL1G860ri2mlI2yaMbT3xDzmatsGsmfbpBo1KDxUK&_nc_zt=24&_nc_ht=scontent-mxp2-1.cdninstagram.com&_nc_ss=7d689&oh=00_AQHfzZH4kxHwwO6hbVhnrZo86FBEUNozYp5O1gQAfPEtlw&oe=6A921570,158098,5,91088,2026-08-24T14:36:44.498Z
7ea740d6-b232-49cd-ae8a-e48d7cb1bee4,totocars7,revision-autos,https://scontent.cdninstagram.com/v/t51.82787-19/639743616_17945901048103192_7038126123016451796_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_cat=104&ccb=7-5&_nc_sid=f7ccc5&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDI0LkMyIn0%3D&_nc_ohc=fGMSam8AanEQ7kNvwFduDxZ&_nc_oc=AdpLY_mAnXuXzVc9Q6iPXWMNGmSYrT15acRe2gK2wiumcKvrdwolWPTYLP0KAtwNHCc&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=ahVlNyUbHGMitgBQ7fhgzw&_nc_ss=72a8c&oh=00_AQFpA2J0An34jnXDIceoMK6dDnskrJDQP4EidSQooGZWxg&oe=6A921E39,79227,100,11194,2026-08-24T14:45:49.777Z
448775f8-3b94-430f-9b1f-0531e00a46ea,checkcar.ok,revision-autos,https://scontent-waw2-1.cdninstagram.com/v/t51.2885-19/338447232_1875499216161539_1416431250542384547_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-waw2-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2gF4Ng2UtfEAszOCbruYgp5pMj2G5XQ_S5T88cvxxiBFVIAGrZn6TyF6B2CCGUVcQh0&_nc_ohc=3f3w42nYYQ0Q7kNvwEhJ4ji&_nc_gid=UBMe2O7WIS1i4Jc0bwgTlQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AQHlhz_uC_vjl392NLHuhBGQxue5CI-rGUWifsd1rqyhvw&oe=6A92163D&_nc_sid=8b3546,71349,8,29380,2026-08-24T14:39:06.933Z
bc801674-1268-40d5-81ac-439384709b72,carbusters.revisiones,revision-autos,https://scontent-ber1-1.cdninstagram.com/v/t51.2885-19/457184710_363695620010772_3418747634109930967_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby42NDAuYzIifQ&_nc_ht=scontent-ber1-1.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2gGDHQEfi2vMzN36PMJdLcq-JI-sTo0YvUz56iQjoNAx9W1BIw6uDt9nnaco5ODRBIg&_nc_ohc=ZZpSQXpYmN0Q7kNvwGfcs_6&_nc_gid=LzhKYnkMDdQ07_DHYLQKAQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AQENExwD3R7OUW78NK4yLE_rG2zILmivcmICR6P_SV2XJQ&oe=6A9223CB&_nc_sid=8b3546,52422,42,10309,2026-08-24T14:40:27.208Z
b880142d-d89e-49de-9fc1-7201a0423a7b,boedo55,revision-autos,https://scontent.cdninstagram.com/v/t51.82787-19/608413779_18379300555152222_825995965104058300_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_cat=104&ccb=7-5&_nc_sid=f7ccc5&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=6vc9aQ863p8Q7kNvwHpZw9V&_nc_oc=AdrCJH4ew61bfm96rv6-Q4MN8of28KML98pKbu69tK4VGayN5F6zBi0UNZx_TV329h8&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=ygw8mRaCyQX6DhFlmF2Dpw&_nc_ss=72a8c&oh=00_AQH61GU1bwjL-uhWg7bSCIJVd_Df5nPP0StK3Yslyyt-lQ&oe=6A923C3C,94562,99,20598,2026-08-24T14:43:36.695Z
